Model,Model URL,Institution,Version,Date,Global Dice,Global HIT Rate,Instance Precision,Instance Recall,Instance F1
DAGG,https://arxiv.org/abs/2607.12602,Gachon University,,2/23/2026,0.253,0.517,0.211,0.299,0.247
VoxTell,https://arxiv.org/abs/2511.11450,German Cancer Research Center (DKFZ) & Heidelberg University,,3/24/2026,0.285,0.615,0.185,0.294,0.227
SAT-FT,https://arxiv.org/abs/2312.17183,Shanghai Jiao Tong University,,,0.205,0.473,0.062,0.383,0.107
BiomedParseV2,https://github.com/microsoft/BiomedParse/tree/v2,Microsoft,,,0.025,0.066,0.006,0.071,0.012
CARE-CT,,Microsoft Research,,8/7/2026,0.323,0.628,0.401,0.306,0.347
VoxTell-FT,,HBKU,,6/24/2026,0.162,0.371,0.031,0.277,0.056
DVSM,,,,7/13/2026,0.322,0.642,0.215,0.359,0.269
