Rank,Date,Model Name,Institution,Model URL,BLEU,BertScore,SembScore,RadGraph,1/RadCliQ-v1,RaTEScore,GREEN
1,2024,CheXpertPlus-MIMIC,Stanford,https://github.com/Stanford-AIMI/chexpert-plus,0.165,0.353,0.382,0.193,0.802,0.511,0.377
2,2024,CheXpertPlus-CheX,Stanford,https://github.com/Stanford-AIMI/chexpert-plus,0.127,0.3,0.342,0.173,0.715,0.51,0.302
3,2024,CheXpertPlus-CheX-MIMIC,Stanford,https://github.com/Stanford-AIMI/chexpert-plus,0.166,0.362,0.391,0.203,0.825,0.52,0.367
4,2024,MedVersa,Harvard,https://huggingface.co/hyzhou/MedVersa/tree/main,0.193,0.43,0.315,0.273,0.919,0.554,0.421
5,2023,RadFM,SJTU,https://github.com/chaoyi-wu/RadFM,0.081,0.281,0.245,0.111,0.625,0.448,0.214
6,2024,GPT4V,OpenAI,https://cdn.openai.com/papers/GPTV-System-Card.pdf,0.065,0.204,0.19,0.085,0.549,0.429,0.127
7,2025,UniRG-CXR,Microsoft Research,https://arxiv.org/abs/2601.17151,0.205,0.419,0.491,0.266,1.066,0.615,0.365
8,2025,CheXOne-R1,Stanford,https://github.com/YBZh/CheXOne-R1,0.156,0.372,0.45,0.233,0.911,0.528,0.349
9,2026,MedGemma 1.5 4B, Google,https://deepmind.google/models/gemma/medgemma/,0.104,0.287,0.373,0.195,0.734,0.578,0.303
